0,1,2,3
0,2621,4036,1
0,1526,3365,1
0,661,1905,1
0,2447,3015,0
0,548,2093,1
0,1294,5464,0
0,2226,1869,1
0,2418,2685,1
0,2060,2210,0
0,1830,1513,0
0,483,342,1
0,2093,2437,1
0,2150,2509,0
0,1575,2104,1
0,2234,2934,0
0,2712,2366,0
0,2133,3442,1
0,1271,815,1
0,83,4596,0
0,1468,4374,1
0,1646,1447,1
0,558,1009,1
0,2705,1656,1
0,1943,4265,1
0,2504,2640,1
0,1342,4384,1
0,2518,357,1
0,855,553,1
0,1880,2797,1
0,2098,1328,1
0,2111,3289,1
0,1799,2412,1
0,1426,4171,1
0,876,87,1
0,592,4842,1
0,2158,964,0
0,1221,968,1
0,2712,1844,0
0,855,1362,0
0,1998,1905,1
0,402,1233,1
0,1896,4859,1
0,645,1896,1
0,2447,4759,1
0,2712,1812,0
0,2418,3670,0
0,1535,344,1
0,2520,588,1
0,1317,2214,1
0,1734,2116,1
0,2150,619,1
0,855,1337,0
0,2711,501,1
0,1383,2713,1
0,2449,3654,0
0,1526,2669,0
0,1625,814,1
0,2139,5093,1
0,2342,3605,1
0,2075,358,1
0,479,4238,1
0,1980,3096,1
0,1185,2355,1
0,2220,4868,0
0,2002,4929,1
0,2293,2587,1
0,33,4328,1
0,1206,2630,0
0,2447,2093,0
0,267,3611,1
0,1971,1241,1
0,1448,5026,0
0,2603,303,0
0,1235,4919,1
0,1723,622,1
0,1476,351,0
0,1734,1012,1
0,855,330,1
0,2584,4939,1
0,875,3599,0
0,2307,4965,1
0,1949,2779,0
0,1852,2070,0
0,1957,164,0
0,2504,3826,0
0,1664,1821,0
0,1317,5319,1
0,1496,4840,1
0,1458,3133,0
0,1303,4169,1
0,1467,5335,0
0,2705,4829,1
0,1623,43,0
0,1317,2122,1
0,1304,4875,0
0,18,2079,0
0,1283,3608,1
0,1509,5226,1
0,2406,5533,1
0,2047,2303,1
0,2518,3722,0
0,2612,2538,0
0,525,118,1
0,1297,10,1
0,1849,1224,1
0,2250,5055,1
0,2475,4558,0
0,569,520,1
0,1782,1498,1
0,353,5323,1
0,1748,4884,1
0,33,440,1
0,2119,15,1
0,2155,5274,1
0,2075,4923,0
0,4,3404,1
0,2144,4345,0
0,2150,1320,1
0,1422,3919,1
0,2542,1610,1
0,1781,4417,0
0,2443,5309,1
0,1756,4187,1
0,2496,4832,1
0,1582,5521,1
0,2418,4072,1
0,1342,4271,1
0,2101,4427,1
0,1408,193,1
0,1249,734,1
0,2154,1737,1
0,2712,3285,0
0,2217,3848,1
0,2395,4342,1
0,1240,4464,1
0,2335,4600,1
0,485,1306,1
0,2418,1938,0
0,2150,4698,1
0,2567,862,0
0,1857,5553,1
0,2150,3875,0
0,2489,912,1
0,2612,5133,1
0,2075,2418,0
0,2518,2804,1
0,1766,5454,0
0,2598,4679,1
0,122,1794,0
0,875,728,1
0,2236,2071,0
0,869,185,0
0,2146,1401,1
0,2484,5538,1
0,428,2988,1
0,2302,5498,0
0,2638,162,0
0,609,4394,1
0,2346,587,0
0,1537,2252,1
0,2563,2593,1
0,1185,4084,0
0,1574,5100,0
0,2217,3091,1
0,2150,3306,1
0,2278,2930,0
